id,model_type,model_family,model_name,ckpt_file,url,autoencoder,clip_encoder,image_encoder,t5_encoder,full_json
1,model,v1,AloeVera's SimpMaker 3K1,aloeveras_simpmaker_3k1_f16.ckpt,"","","","","","{""upcast_attention"":false,""version"":""v1"",""name"":""AloeVera's SimpMaker 3K1"",""file"":""aloeveras_simpmaker_3k1_f16.ckpt"",""prefix"":"""",""default_scale"":8,""converted"":{""aloeveras_simpmaker_3k1_f16.ckpt"":""562db3b5ca4961eed207e308073d99293d27f23f90e09dba58f2eb828a2f8e0c""}}"
2,model,v1,Analog (v1),analog_v1_f16.ckpt,"","","","","","{""name"":""Analog (v1)"",""prefix"":""analog style "",""default_scale"":8,""version"":""v1"",""upcast_attention"":false,""file"":""analog_v1_f16.ckpt"",""text_encoder"":""analog_v1_clip_vit_l14_f16.ckpt"",""converted"":{""analog_v1_f16.ckpt"":""ffed9bb928a20f90f9881ac0d51e918c1580562f099fdd45c061c292dec63ab5"",""analog_v1_clip_vit_l14_f16.ckpt"":""f144ac4ad344c82c3b1dc69e46aba8d9c6bc20d24de9e48105a3db3e4437108d""}}"
3,model,sdxl_base_v0.9,Animagine XL v3.1,animagine_xl_v3.1_f16.ckpt,"",sdxl_vae_v1.0_f16.ckpt,animagine_xl_v3.1_clip_vit_l14_f16.ckpt,"","","{""download"":{""file"":""https://huggingface.co/cagliostrolab/animagine-xl-3.1/resolve/main/animagine-xl-3.1.safetensors""},""autoencoder"":""sdxl_vae_v1.0_f16.ckpt"",""default_scale"":16,""prefix"":"""",""version"":""sdxl_base_v0.9"",""upcast_attention"":false,""name"":""Animagine XL v3.1"",""modifier"":""none"",""text_encoder"":""animagine_xl_v3.1_open_clip_vit_bigg14_f16.ckpt"",""clip_encoder"":""animagine_xl_v3.1_clip_vit_l14_f16.ckpt"",""file"":""animagine_xl_v3.1_f16.ckpt"",""converted"":{""animagine_xl_v3.1_open_clip_vit_bigg14_f16.ckpt"":""23a6fa09bf1df2b6f5496a0d8e9b52b32f9685c9291902565b1f0ded66af11b8"",""animagine_xl_v3.1_clip_vit_l14_f16.ckpt"":""a4f5ce2e18ad971bec5a9c9cefd2b06c616e2ac2856d59056df597483e70ab82"",""animagine_xl_v3.1_f16.ckpt"":""a33f9702458dfc6d57a750ecdb8253dad3b2196451fb9075c39999b9515e6a0c"",""animagine_xl_v3.1_q6p_q8p.ckpt"":""b9d39fc276ec5334d9cf19f55f0f05495180af91a7cf295132c6ca247891fe45""}}"
4,model,svd_i2v,AnimateLCM SVD XT v1.1,animatelcm_svd_xt_v1.1_f16.ckpt,"","",open_clip_vit_h14_visual_proj_f16.ckpt,"","","{""download"":{""file"":""https://huggingface.co/wangfuyun/AnimateLCM-SVD-xt/resolve/main/AnimateLCM-SVD-xt-1.1.safetensors""},""prefix"":"""",""upcast_attention"":false,""clip_encoder"":""open_clip_vit_h14_visual_proj_f16.ckpt"",""text_encoder"":""open_clip_vit_h14_vision_model_f16.ckpt"",""conditioning"":""noise"",""version"":""svd_i2v"",""default_scale"":8,""name"":""AnimateLCM SVD XT v1.1"",""noise_discretization"":{""edm"":{""_0"":{""sigma_max"":700,""sigma_data"":0.5,""sigma_min"":0.002}}},""modifier"":""none"",""objective"":{""v"":{}},""file"":""animatelcm_svd_xt_v1.1_f16.ckpt"",""converted"":{""animatelcm_svd_xt_v1.1_f16.ckpt"":""bbabff3956ba0bf83a0c126871f8d61aa4a0fb27917ffcfc566d066b9204ba75"",""animatelcm_svd_xt_v1.1_q6p_q8p.ckpt"":""35c9d5bfdd469f4f5404d1942707edd006fa648a29f39d7bfb7278098ba581a8""}}"
5,model,wan_v2.1_14b,AniSora v2 I2V Wan 2.1 14B,anisora_v2_i2v_wan_2.1_14b_q8p.ckpt,"",wan_v2.1_video_vae_f16.ckpt,open_clip_xlm_roberta_large_vit_h14_f16.ckpt,"","","{""name"":""AniSora v2 I2V Wan 2.1 14B"",""version"":""wan_v2.1_14b"",""modifier"":""inpainting"",""autoencoder"":""wan_v2.1_video_vae_f16.ckpt"",""prefix"":"""",""default_scale"":12,""hires_fix_scale"":16,""file"":""anisora_v2_i2v_wan_2.1_14b_q8p.ckpt"",""upcast_attention"":false,""text_encoder"":""umt5_xxl_encoder_q8p.ckpt"",""clip_encoder"":""open_clip_xlm_roberta_large_vit_h14_f16.ckpt"",""high_precision_autoencoder"":false,""objective"":{""u"":{""condition_scale"":1000}},""frames_per_second"":16,""tea_cache_coefficients"":[8107.0546,2133.93892,-372.934672,16.6203073,-0.0417769401],""note"":""[AniSora v2](https://huggingface.co/IndexTeam/Index-anisora) is a state-of-the-art image-to-video model fine-tuned by Bilibili for anime generation."",""converted"":{""wan_v2.1_video_vae_f16.ckpt"":""4c518b128b3c1f2ea164aa46269d8875b4be3661d1fc0fba2709d03fa94e418b"",""umt5_xxl_encoder_q8p.ckpt"":""72ef62d22c09a3b764ac9e6fe0100f4029619fb3ff8ccec3432e509487b29831"",""open_clip_xlm_roberta_large_vit_h14_f16.ckpt"":""362c9940a36acce5a4e13b9167d5daebd005ac026443cd37b7955ac0acd72083"",""anisora_v2_i2v_wan_2.1_14b_q6p_svd.ckpt"":""abd7c0ecfa848ef1812256c93fe151803d719d917dd5faadbd5a5115dd2f3b5a"",""anisora_v2_i2v_wan_2.1_14b_q8p.ckpt"":""052cb03c0300ecd6a1439e635fcf26b35ad10a97e81a13f3375d842dcc3c097d""}}"
6,model,wan_v2.1_14b,AniSora v3.1 I2V Wan 2.1 14B,anisora_v3.1_i2v_wan_2.1_14b_q8p.ckpt,"",wan_v2.1_video_vae_f16.ckpt,open_clip_xlm_roberta_large_vit_h14_f16.ckpt,"","","{""name"":""AniSora v3.1 I2V Wan 2.1 14B"",""version"":""wan_v2.1_14b"",""modifier"":""inpainting"",""autoencoder"":""wan_v2.1_video_vae_f16.ckpt"",""prefix"":"""",""default_scale"":12,""hires_fix_scale"":16,""file"":""anisora_v3.1_i2v_wan_2.1_14b_q8p.ckpt"",""upcast_attention"":false,""text_encoder"":""umt5_xxl_encoder_q8p.ckpt"",""clip_encoder"":""open_clip_xlm_roberta_large_vit_h14_f16.ckpt"",""high_precision_autoencoder"":false,""objective"":{""u"":{""condition_scale"":1000}},""frames_per_second"":16,""tea_cache_coefficients"":[8107.0546,2133.93892,-372.934672,16.6203073,-0.0417769401],""note"":""[AniSora v3.1](https://huggingface.co/IndexTeam/Index-anisora) is a state-of-the-art image-to-video model fine-tuned by Bilibili for anime generation."",""converted"":{""wan_v2.1_video_vae_f16.ckpt"":""4c518b128b3c1f2ea164aa46269d8875b4be3661d1fc0fba2709d03fa94e418b"",""umt5_xxl_encoder_q8p.ckpt"":""72ef62d22c09a3b764ac9e6fe0100f4029619fb3ff8ccec3432e509487b29831"",""open_clip_xlm_roberta_large_vit_h14_f16.ckpt"":""362c9940a36acce5a4e13b9167d5daebd005ac026443cd37b7955ac0acd72083"",""anisora_v3.1_i2v_wan_2.1_14b_q6p_svd.ckpt"":""ac3089680cd82661f0ecade0ab340b15f35a979d9d1ffb48f19e19e54811515e"",""anisora_v3.1_i2v_wan_2.1_14b_q8p.ckpt"":""14527d22fa1a8cde2eae65ecd2f48769e08720ac83f132163a983cac24c7073a""}}"
7,model,v1,Anime (Anything v3),anything_v3_f16.ckpt,"",anything_v3_vae_f16.ckpt,"","","","{""text_encoder"":""anything_v3_clip_vit_l14_f16.ckpt"",""default_scale"":8,""version"":""v1"",""file"":""anything_v3_f16.ckpt"",""prefix"":"""",""autoencoder"":""anything_v3_vae_f16.ckpt"",""name"":""Anime (Anything v3)"",""upcast_attention"":false,""converted"":{""anything_v3_f16.ckpt"":""f4354727512d6b6a2d5e4cf783fdc8475e7981c50b9f387bc93317c22299e505"",""anything_v3_clip_vit_l14_f16.ckpt"":""5f1311561bdac6d43e4b3bacbee8c257bf788e6c86b3c69c68247a9abab1050d"",""anything_v3_vae_f16.ckpt"":""3b7d16260a7d211416739285f97d53354b332cfceadb2b7191817f4e1cfb5d57""}}"
8,model,v1,Arcane (v3),arcane_v3_f16.ckpt,"","","","","","{""file"":""arcane_v3_f16.ckpt"",""text_encoder"":""arcane_v3_clip_vit_l14_f16.ckpt"",""name"":""Arcane (v3)"",""default_scale"":8,""prefix"":""arcane style "",""upcast_attention"":false,""version"":""v1"",""converted"":{""arcane_v3_f16.ckpt"":""4c55d2239e1f0ff40cc6e1ae518737735f6d1b7613f8f7aca9239205f0be729a"",""arcane_v3_clip_vit_l14_f16.ckpt"":""954f1e1fb690dcb1820adaf83099b39057e2b1bcbbdc12ecfe37ac17bcad6fa7""}}"
9,model,flux1,Artsy Vibe v1,artsy_vibe_v1_q8p.ckpt,"",flux_1_vae_f16.ckpt,clip_vit_l14_f16.ckpt,"","","{""name"":""Artsy Vibe v1"",""version"":""flux1"",""autoencoder"":""flux_1_vae_f16.ckpt"",""prefix"":"""",""default_scale"":16,""hires_fix_scale"":24,""file"":""artsy_vibe_v1_q8p.ckpt"",""upcast_attention"":false,""text_encoder"":""t5_xxl_encoder_q6p.ckpt"",""clip_encoder"":""clip_vit_l14_f16.ckpt"",""high_precision_autoencoder"":true,""guidance_embed"":true,""padded_text_encoding_length"":512,""objective"":{""u"":{""condition_scale"":1000}},""converted"":{""artsy_vibe_v1_q5p_svd.ckpt"":""530064361fccb785379587644bdd2d22da1feb892225cbb0bf5f520d86050fb1"",""artsy_vibe_v1_q8p.ckpt"":""d08a56f155b73e2e4cee77bf72d7acad1e34bc5a3f258c1f34ef548a8688fb8e""}}"
10,model,auraflow,AuraFlow v0.2,auraflow_v0.2_q8p.ckpt,"",sdxl_vae_v1.0_f16.ckpt,"","","","{""name"":""AuraFlow v0.2"",""version"":""auraflow"",""autoencoder"":""sdxl_vae_v1.0_f16.ckpt"",""prefix"":"""",""default_scale"":16,""file"":""auraflow_v0.2_q8p.ckpt"",""upcast_attention"":false,""text_encoder"":""pile_t5_xl_encoder_q8p.ckpt"",""objective"":{""u"":{""condition_scale"":1000}},""converted"":{""auraflow_v0.2_q8p.ckpt"":""cda840bce05ada4c97d95080160f18dc594b6c5f2d4da45c33db51c37c070170"",""auraflow_v0.2_q5p.ckpt"":""b3d4a2c3be69e285028de0d61a17a5fbe34b9e1504725f32f52e75b8d9d8a2cc""}}"
